country,res_loss,infl_h2,in_core,scarring,pre_reserves
Pakistan,0.6,7.5,1.0,0.6424244913018529,1.8
Egypt,0.4,6.0,0.0,0.6180257385129654,3.6
Sri Lanka,0.5,5.2,0.0,0.5589209092140448,3.5
Bangladesh,0.5,6.4,0.0,0.5341311846020412,3.2
Nepal,0.2,3.1,0.0,0.4046313839457882,10.0
Jordan,0.3,3.4,0.0,0.37895894195018837,7.0
Ethiopia,0.7,8.1,1.0,0.6554621200513594,1.5
Zambia,0.6,7.2,1.0,0.6740840669725685,2.3
India,0.2,3.0,0.0,0.46588432071928143,11.0
Morocco,0.3,3.6,0.0,0.4365828469719965,5.5
Philippines,0.2,3.3,0.0,0.4501893953554853,7.5
Kenya,0.4,4.5,0.0,0.6295013388374828,3.8
Tunisia,0.4,5.4,0.0,0.5947666966709126,3.1
Ghana,0.5,6.6,0.0,0.6997535769840694,3.1
Nigeria,0.3,5.8,0.0,0.6301199147622683,6.0
Angola,0.3,5.1,0.0,0.693112136498874,6.0
Bolivia,0.6,5.0,0.0,0.7435069324868923,1.9
Vietnam,0.2,2.9,0.0,0.6393393676799043,3.1
